Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux)	10001182
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
AsymmetricTop	Excited	27	E-	2	Ground	27	E+	4	12232.1992701257	2.9193994026123E-9	12806.5749860765	574.37571595079	0.000637045218155168	19.9454874859153	0	nQ6,21(27)	Excited v=1 27  3 25 - Ground v=0 27  6 21
AsymmetricTop	Excited	27	E+	2	Ground	27	E-	3	12232.2146247635	2.9191613459169E-9	12806.5903407141	574.375715950633	0.000636993271552387	19.9439361747792	0	nQ6,22(27)	Excited v=1 27  3 24 - Ground v=0 27  6 22
AsymmetricTop	Excited	28	E-	2	Ground	28	E+	4	12232.5225030479	3.15468243684249E-9	12825.5483243979	593.02582135005	0.000766384469519618	23.154923596764	0	nQ6,22(28)	Excited v=1 28  3 26 - Ground v=0 28  6 22
AsymmetricTop	Excited	28	E+	2	Ground	28	E-	3	12232.5415345348	3.1543640038534E-9	12825.5673558847	593.025821349809	0.00076630711082959	23.1526944068387	0	nQ6,23(28)	Excited v=1 28  3 25 - Ground v=0 28  6 23
AsymmetricTop	Excited	29	E-	2	Ground	29	E+	4	12232.8578764668	3.37304594663517E-9	12845.1999554998	612.34207903294	0.000915783038967029	26.7330072912301	0	nQ6,23(29)	Excited v=1 29  3 27 - Ground v=0 29  6 23
AsymmetricTop	Excited	29	E+	2	Ground	29	E-	3	12232.8812885262	3.3726276976344E-9	12845.2233675588	612.342079032574	0.000915669484229397	26.7298459386932	0	nQ6,24(29)	Excited v=1 29  3 26 - Ground v=0 29  6 24
AsymmetricTop	Excited	30	E-	2	Ground	30	E+	4	12233.2054330994	3.57030957543951E-9	12865.529930215	632.324497115572	0.00108747808605822	30.7068260308603	0	nQ6,24(30)	Excited v=1 30  3 28 - Ground v=0 30  6 24
AsymmetricTop	Excited	30	E+	2	Ground	30	E-	3	12233.2340325228	3.56976962281501E-9	12865.5585296378	632.324497115021	0.0010873136222641	30.7023974429437	0	nQ6,25(30)	Excited v=1 30  3 27 - Ground v=0 30  6 25
AsymmetricTop	Excited	29	O+	8	Ground	30	O+	8	12233.4077747503	3.16461297531604E-9	14559.4076262405	2325.99985149019	16.490286161887	160479.929594062	0	pP15,15(30)	Excited v=1 29 14 15 - Ground v=0 30 15 15
AsymmetricTop	Excited	29	O-	7	Ground	30	O-	8	12233.4077747503	3.16461297531605E-9	14559.4076262405	2325.99985149019	16.490286161887	160479.929594062	0	pP15,16(30)	Excited v=1 29 14 16 - Ground v=0 30 15 16
AsymmetricTop	Excited	28	O+	8	Ground	29	O+	8	12233.7488095079	3.50990775506233E-9	14539.767305305	2306.01849579716	16.3027791436259	164235.733508452	0	pP15,14(29)	Excited v=1 28 14 14 - Ground v=0 29 15 14
